SELECT;Geometry Code;Layer;fclass;Description;OSM Tag;;;;;;
accessibility;2601;money;bank;A bank.;amenity=bank;;;;;;
accessibility;2602;money;atm;A machine that lets you withdraw amenity=atm;;;;;;;
accessibility;2901;miscpoi;toilet;Public toilets.;amenity=toilets;;;;;;
accessibility;2902;miscpoi;bench;A public bench.;amenity=bench;;;;;;
accessibility;2903;miscpoi;drinking_water;A tap or other source of drinking;amenity=drinking_water;;;;;;
accessibility;2904;miscpoi;fountain;A fountain for cultural, decorative,;amenity=fountain;;;;;;
accessibility;5204;traffic;crossing;A place where the street is crossed by;highway=crossing,;;;;;;
art;2014;public;arts_centre;A venue at which a variety of arts;amenity=arts_centre;;;;;;
art;2015;public;graveyard;A graveyard.;amenity=grave_yard or;;;;;;
art;2201;leisure;theatre;A theatre.;amenity=theatre;;;;;;
art;2722;tourism;museum;A museum.;tourism=museum;;;;;;
art;2723;tourism;monument;A monument.;historic=monument;;;;;;
art;2724;tourism;memorial;A memorial.;historic=memorial;;;;;;
art;2725;tourism;art;A permanent work of art.;tourism=artwork;;;;;;
art;2731;tourism;castle;A castle.;historic=castle;;;;;;
art;2732;tourism;ruins;Ruins of historic significance.;historic=ruins;;;;;;
art;2734;tourism;wayside_cross;A wayside cross, not necessarily;historic=wayside_criss;;;;;;
art;2735;tourism;wayside_shrine;A wayside shrine.;historic=wayside_shrine;;;;;;
art;2736;tourism;battlefield;A historic battlefield.;historic=battlefield;;;;;;
art;2737;tourism;fort;A fort.;historic=fort;;;;;;
art;2950;miscpoi;tower;A tower of some kind.;man_made=tower and none;;;;;;
art;2951;miscpoi;tower_comms;A communications tower.;man_made=tower and;;;;;;
art;3100;pofw;christian;A christian place of worship;amenity=place_of_worship +;;;;;;
art;3101;pofw;christian_anglican;A christian place of worship;#NOME?;;;;;;
art;3102;pofw;christian_catholic;where the denomination is;#NOME?;;;;;;
art;3103;pofw;christian_evangelical;known. (Note to German users:“protestant” is “evangelisch” in;#NOME?;;;;;;
art;3104;pofw;christian_lutheran;"German; “evangelical” is";#NOME?;;;;;;
art;3105;pofw;christian_methodist;“evangelikal” in German.);#NOME?;;;;;;
art;3106;pofw;christian_orthodox;;#NOME?;;;;;;
art;3107;pofw;christian_protestant;;#NOME?;;;;;;
art;3108;pofw;christian_baptist;;#NOME?;;;;;;
art;3109;pofw;christian_mormon;;#NOME?;;;;;;
art;3200;pofw;jewish;A jewish place of worship;amenity=place_of_worship +;;;;;;
art;3300;pofw;muslim;A muslim place of worhsip,;amenity=place_of_worship +;;;;;;
art;3301;pofw;muslim_sunni;A Sunni muslim place of worship.;#NOME?;;;;;;
art;3302;pofw;muslim_shia;A Shia muslim place of worship.;#NOME?;;;;;;
art;3400;pofw;buddhist;A Buddhist place of worship.;amenity=place_of_worship +;;;;;;
art;3500;pofw;hindu;A Hindu place of worship.;amenity=place_of_worship +;;;;;;
art;3600;pofw;taoist;A Taoist place of worship.;amenity=place_of_worship +;;;;;;
art;3700;pofw;shintoist;A Shintoist place of worship.;amenity=place_of_worship +;;;;;;
