,geometry,cluster
R1C37,"POLYGON ((11.770000374 45.005003717259264, 11.7625003775 45.005003717259264, 11.7625003775 45.00000374836847, 11.770000374 45.00000374836847, 11.770000374 45.005003717259264))",11
R1C38,"POLYGON ((11.7775003705 45.005003717259264, 11.770000374 45.005003717259264, 11.770000374 45.00000374836847, 11.7775003705 45.00000374836847, 11.7775003705 45.005003717259264))",11
R1C86,"POLYGON ((12.1375002025 45.005003717259264, 12.130000206 45.005003717259264, 12.130000206 45.00000374836847, 12.1375002025 45.00000374836847, 12.1375002025 45.005003717259264))",6
R1C96,"POLYGON ((12.2125001675 45.005003717259264, 12.205000171 45.005003717259264, 12.205000171 45.00000374836847, 12.2125001675 45.00000374836847, 12.2125001675 45.005003717259264))",6
R1C119,"POLYGON ((12.385000087 45.005003717259264, 12.3775000905 45.005003717259264, 12.3775000905 45.00000374836847, 12.385000087 45.00000374836847, 12.385000087 45.005003717259264))",6
R2C25,"POLYGON ((11.680000416 45.01000368615006, 11.6725004195 45.01000368615006, 11.6725004195 45.005003717259264, 11.680000416 45.005003717259264, 11.680000416 45.01000368615006))",11
R2C26,"POLYGON ((11.6875004125 45.01000368615006, 11.680000416 45.01000368615006, 11.680000416 45.005003717259264, 11.6875004125 45.005003717259264, 11.6875004125 45.01000368615006))",11
R3C2,"POLYGON ((11.5075004965 45.01500365504085, 11.5000005 45.01500365504085, 11.5000005 45.01000368615006, 11.5075004965 45.01000368615006, 11.5075004965 45.01500365504085))",13
R3C27,"POLYGON ((11.695000409 45.01500365504085, 11.6875004125 45.01500365504085, 11.6875004125 45.01000368615006, 11.695000409 45.01000368615006, 11.695000409 45.01500365504085))",11
R3C73,"POLYGON ((12.040000248 45.01500365504085, 12.0325002515 45.01500365504085, 12.0325002515 45.01000368615006, 12.040000248 45.01000368615006, 12.040000248 45.01500365504085))",11
R4C83,"POLYGON ((12.115000213 45.02000362393164, 12.1075002165 45.02000362393164, 12.1075002165 45.01500365504085, 12.115000213 45.01500365504085, 12.115000213 45.02000362393164))",6
R4C97,"POLYGON ((12.220000164 45.02000362393164, 12.2125001675 45.02000362393164, 12.2125001675 45.01500365504085, 12.220000164 45.01500365504085, 12.220000164 45.02000362393164))",6
R5C6,"POLYGON ((11.5375004825 45.025003592822436, 11.530000486 45.025003592822436, 11.530000486 45.02000362393164, 11.5375004825 45.02000362393164, 11.5375004825 45.025003592822436))",13
R5C13,"POLYGON ((11.590000458 45.025003592822436, 11.5825004615 45.025003592822436, 11.5825004615 45.02000362393164, 11.590000458 45.02000362393164, 11.590000458 45.025003592822436))",13
R5C43,"POLYGON ((11.815000353 45.025003592822436, 11.8075003565 45.025003592822436, 11.8075003565 45.02000362393164, 11.815000353 45.02000362393164, 11.815000353 45.025003592822436))",11
R5C78,"POLYGON ((12.0775002305 45.025003592822436, 12.070000234 45.025003592822436, 12.070000234 45.02000362393164, 12.0775002305 45.02000362393164, 12.0775002305 45.025003592822436))",6
R5C97,"POLYGON ((12.220000164 45.025003592822436, 12.2125001675 45.025003592822436, 12.2125001675 45.02000362393164, 12.220000164 45.02000362393164, 12.220000164 45.025003592822436))",6
R5C99,"POLYGON ((12.235000157 45.025003592822436, 12.2275001605 45.025003592822436, 12.2275001605 45.02000362393164, 12.235000157 45.02000362393164, 12.235000157 45.025003592822436))",6
R5C116,"POLYGON ((12.3625000975 45.025003592822436, 12.355000101 45.025003592822436, 12.355000101 45.02000362393164, 12.3625000975 45.02000362393164, 12.3625000975 45.025003592822436))",6
R6C13,"POLYGON ((11.590000458 45.03000356171323, 11.5825004615 45.03000356171323, 11.5825004615 45.025003592822436, 11.590000458 45.025003592822436, 11.590000458 45.03000356171323))",13
R6C21,"POLYGON ((11.65000043 45.03000356171323, 11.6425004335 45.03000356171323, 11.6425004335 45.025003592822436, 11.65000043 45.025003592822436, 11.65000043 45.03000356171323))",13
R6C32,"POLYGON ((11.7325003915 45.03000356171323, 11.725000395 45.03000356171323, 11.725000395 45.025003592822436, 11.7325003915 45.025003592822436, 11.7325003915 45.03000356171323))",11
R6C79,"POLYGON ((12.085000227 45.03000356171323, 12.0775002305 45.03000356171323, 12.0775002305 45.025003592822436, 12.085000227 45.025003592822436, 12.085000227 45.03000356171323))",6
R6C89,"POLYGON ((12.160000192 45.03000356171323, 12.1525001955 45.03000356171323, 12.1525001955 45.025003592822436, 12.160000192 45.025003592822436, 12.160000192 45.03000356171323))",6
R6C94,"POLYGON ((12.1975001745 45.03000356171323, 12.190000178 45.03000356171323, 12.190000178 45.025003592822436, 12.1975001745 45.025003592822436, 12.1975001745 45.03000356171323))",6
R7C2,"POLYGON ((11.5075004965 45.03500353060402, 11.5000005 45.03500353060402, 11.5000005 45.03000356171323, 11.5075004965 45.03000356171323, 11.5075004965 45.03500353060402))",13
R7C3,"POLYGON ((11.515000493 45.03500353060402, 11.5075004965 45.03500353060402, 11.5075004965 45.03000356171323, 11.515000493 45.03000356171323, 11.515000493 45.03500353060402))",13
R7C14,"POLYGON ((11.5975004545 45.03500353060402, 11.590000458 45.03500353060402, 11.590000458 45.03000356171323, 11.5975004545 45.03000356171323, 11.5975004545 45.03500353060402))",13
R7C20,"POLYGON ((11.6425004335 45.03500353060402, 11.635000437 45.03500353060402, 11.635000437 45.03000356171323, 11.6425004335 45.03000356171323, 11.6425004335 45.03500353060402))",13
R7C22,"POLYGON ((11.6575004265 45.03500353060402, 11.65000043 45.03500353060402, 11.65000043 45.03000356171323, 11.6575004265 45.03000356171323, 11.6575004265 45.03500353060402))",13
R7C39,"POLYGON ((11.785000367 45.03500353060402, 11.7775003705 45.03500353060402, 11.7775003705 45.03000356171323, 11.785000367 45.03000356171323, 11.785000367 45.03500353060402))",11
R7C43,"POLYGON ((11.815000353 45.03500353060402, 11.8075003565 45.03500353060402, 11.8075003565 45.03000356171323, 11.815000353 45.03000356171323, 11.815000353 45.03500353060402))",11
R7C44,"POLYGON ((11.8225003495 45.03500353060402, 11.815000353 45.03500353060402, 11.815000353 45.03000356171323, 11.8225003495 45.03000356171323, 11.8225003495 45.03500353060402))",11
R7C88,"POLYGON ((12.1525001955 45.03500353060402, 12.145000199 45.03500353060402, 12.145000199 45.03000356171323, 12.1525001955 45.03000356171323, 12.1525001955 45.03500353060402))",6
R7C89,"POLYGON ((12.160000192 45.03500353060402, 12.1525001955 45.03500353060402, 12.1525001955 45.03000356171323, 12.160000192 45.03000356171323, 12.160000192 45.03500353060402))",6
R7C94,"POLYGON ((12.1975001745 45.03500353060402, 12.190000178 45.03500353060402, 12.190000178 45.03000356171323, 12.1975001745 45.03000356171323, 12.1975001745 45.03500353060402))",6
R7C98,"POLYGON ((12.2275001605 45.03500353060402, 12.220000164 45.03500353060402, 12.220000164 45.03000356171323, 12.2275001605 45.03000356171323, 12.2275001605 45.03500353060402))",6
R7C119,"POLYGON ((12.385000087 45.03500353060402, 12.3775000905 45.03500353060402, 12.3775000905 45.03000356171323, 12.385000087 45.03000356171323, 12.385000087 45.03500353060402))",6
R8C2,"POLYGON ((11.5075004965 45.040003499494816, 11.5000005 45.040003499494816, 11.5000005 45.03500353060402, 11.5075004965 45.03500353060402, 11.5075004965 45.040003499494816))",13
R8C3,"POLYGON ((11.515000493 45.040003499494816, 11.5075004965 45.040003499494816, 11.5075004965 45.03500353060402, 11.515000493 45.03500353060402, 11.515000493 45.040003499494816))",13
R8C76,"POLYGON ((12.0625002375 45.040003499494816, 12.055000241 45.040003499494816, 12.055000241 45.03500353060402, 12.0625002375 45.03500353060402, 12.0625002375 45.040003499494816))",6
R8C97,"POLYGON ((12.220000164 45.040003499494816, 12.2125001675 45.040003499494816, 12.2125001675 45.03500353060402, 12.220000164 45.03500353060402, 12.220000164 45.040003499494816))",6
R8C98,"POLYGON ((12.2275001605 45.040003499494816, 12.220000164 45.040003499494816, 12.220000164 45.03500353060402, 12.2275001605 45.03500353060402, 12.2275001605 45.040003499494816))",6
R8C114,"POLYGON ((12.3475001045 45.040003499494816, 12.340000108 45.040003499494816, 12.340000108 45.03500353060402, 12.3475001045 45.03500353060402, 12.3475001045 45.040003499494816))",6
R9C29,"POLYGON ((11.710000402 45.04500346838561, 11.7025004055 45.04500346838561, 11.7025004055 45.040003499494816, 11.710000402 45.040003499494816, 11.710000402 45.04500346838561))",11
R9C30,"POLYGON ((11.7175003985 45.04500346838561, 11.710000402 45.04500346838561, 11.710000402 45.040003499494816, 11.7175003985 45.040003499494816, 11.7175003985 45.04500346838561))",11
R9C35,"POLYGON ((11.755000381 45.04500346838561, 11.7475003845 45.04500346838561, 11.7475003845 45.040003499494816, 11.755000381 45.040003499494816, 11.755000381 45.04500346838561))",11
R9C40,"POLYGON ((11.7925003635 45.04500346838561, 11.785000367 45.04500346838561, 11.785000367 45.040003499494816, 11.7925003635 45.040003499494816, 11.7925003635 45.04500346838561))",11
R9C44,"POLYGON ((11.8225003495 45.04500346838561, 11.815000353 45.04500346838561, 11.815000353 45.040003499494816, 11.8225003495 45.040003499494816, 11.8225003495 45.04500346838561))",11
R9C59,"POLYGON ((11.935000297 45.04500346838561, 11.9275003005 45.04500346838561, 11.9275003005 45.040003499494816, 11.935000297 45.040003499494816, 11.935000297 45.04500346838561))",11
R9C113,"POLYGON ((12.340000108 45.04500346838561, 12.3325001115 45.04500346838561, 12.3325001115 45.040003499494816, 12.340000108 45.040003499494816, 12.340000108 45.04500346838561))",6
R9C115,"POLYGON ((12.355000101 45.04500346838561, 12.3475001045 45.04500346838561, 12.3475001045 45.040003499494816, 12.355000101 45.040003499494816, 12.355000101 45.04500346838561))",6
R10C26,"POLYGON ((11.6875004125 45.0500034372764, 11.680000416 45.0500034372764, 11.680000416 45.04500346838561, 11.6875004125 45.04500346838561, 11.6875004125 45.0500034372764))",11
R10C39,"POLYGON ((11.785000367 45.0500034372764, 11.7775003705 45.0500034372764, 11.7775003705 45.04500346838561, 11.785000367 45.04500346838561, 11.785000367 45.0500034372764))",11
