,geometry,cluster
R1C6,"POLYGON ((4.158409585337144 52.00500001293753, 4.1515296429050075 52.00500001293753, 4.1515296429050075 52.00000014138715, 4.158409585337144 52.00000014138715, 4.158409585337144 52.00500001293753))",3
R1C7,"POLYGON ((4.16528952776928 52.00500001293753, 4.158409585337144 52.00500001293753, 4.158409585337144 52.00000014138715, 4.16528952776928 52.00000014138715, 4.16528952776928 52.00500001293753))",3
R1C8,"POLYGON ((4.172169470201417 52.00500001293753, 4.16528952776928 52.00500001293753, 4.16528952776928 52.00000014138715, 4.172169470201417 52.00000014138715, 4.172169470201417 52.00500001293753))",3
R1C9,"POLYGON ((4.179049412633553 52.00500001293753, 4.172169470201417 52.00500001293753, 4.172169470201417 52.00000014138715, 4.179049412633553 52.00000014138715, 4.179049412633553 52.00500001293753))",3
R1C14,"POLYGON ((4.213449124794235 52.00500001293753, 4.206569182362099 52.00500001293753, 4.206569182362099 52.00000014138715, 4.213449124794235 52.00000014138715, 4.213449124794235 52.00500001293753))",3
R1C30,"POLYGON ((4.323528203708418 52.00500001293753, 4.316648261276281 52.00500001293753, 4.316648261276281 52.00000014138715, 4.323528203708418 52.00000014138715, 4.323528203708418 52.00500001293753))",3
R1C31,"POLYGON ((4.330408146140554 52.00500001293753, 4.323528203708418 52.00500001293753, 4.323528203708418 52.00000014138715, 4.330408146140554 52.00000014138715, 4.330408146140554 52.00500001293753))",3
R1C32,"POLYGON ((4.3372880885726905 52.00500001293753, 4.330408146140554 52.00500001293753, 4.330408146140554 52.00000014138715, 4.3372880885726905 52.00000014138715, 4.3372880885726905 52.00500001293753))",3
R1C33,"POLYGON ((4.344168031004827 52.00500001293753, 4.3372880885726905 52.00500001293753, 4.3372880885726905 52.00000014138715, 4.344168031004827 52.00000014138715, 4.344168031004827 52.00500001293753))",3
R1C34,"POLYGON ((4.351047973436963 52.00500001293753, 4.344168031004827 52.00500001293753, 4.344168031004827 52.00000014138715, 4.351047973436963 52.00000014138715, 4.351047973436963 52.00500001293753))",3
R1C35,"POLYGON ((4.3579279158691 52.00500001293753, 4.351047973436963 52.00500001293753, 4.351047973436963 52.00000014138715, 4.3579279158691 52.00000014138715, 4.3579279158691 52.00500001293753))",3
R1C36,"POLYGON ((4.364807858301236 52.00500001293753, 4.3579279158691 52.00500001293753, 4.3579279158691 52.00000014138715, 4.364807858301236 52.00000014138715, 4.364807858301236 52.00500001293753))",3
R1C37,"POLYGON ((4.371687800733373 52.00500001293753, 4.364807858301236 52.00500001293753, 4.364807858301236 52.00000014138715, 4.371687800733373 52.00000014138715, 4.371687800733373 52.00500001293753))",3
R1C38,"POLYGON ((4.378567743165509 52.00500001293753, 4.371687800733373 52.00500001293753, 4.371687800733373 52.00000014138715, 4.378567743165509 52.00000014138715, 4.378567743165509 52.00500001293753))",15
R1C40,"POLYGON ((4.392327628029782 52.00500001293753, 4.385447685597645 52.00500001293753, 4.385447685597645 52.00000014138715, 4.392327628029782 52.00000014138715, 4.392327628029782 52.00500001293753))",15
R1C41,"POLYGON ((4.399207570461918 52.00500001293753, 4.392327628029782 52.00500001293753, 4.392327628029782 52.00000014138715, 4.399207570461918 52.00000014138715, 4.399207570461918 52.00500001293753))",15
R1C47,"POLYGON ((4.440487225054737 52.00500001293753, 4.4336072826226 52.00500001293753, 4.4336072826226 52.00000014138715, 4.440487225054737 52.00000014138715, 4.440487225054737 52.00500001293753))",15
R1C48,"POLYGON ((4.447367167486873 52.00500001293753, 4.440487225054737 52.00500001293753, 4.440487225054737 52.00000014138715, 4.447367167486873 52.00000014138715, 4.447367167486873 52.00500001293753))",15
R1C49,"POLYGON ((4.4542471099190095 52.00500001293753, 4.447367167486873 52.00500001293753, 4.447367167486873 52.00000014138715, 4.4542471099190095 52.00000014138715, 4.4542471099190095 52.00500001293753))",15
R1C52,"POLYGON ((4.474886937215419 52.00500001293753, 4.468006994783282 52.00500001293753, 4.468006994783282 52.00000014138715, 4.474886937215419 52.00000014138715, 4.474886937215419 52.00500001293753))",15
R1C53,"POLYGON ((4.481766879647555 52.00500001293753, 4.474886937215419 52.00500001293753, 4.474886937215419 52.00000014138715, 4.481766879647555 52.00000014138715, 4.481766879647555 52.00500001293753))",15
R1C54,"POLYGON ((4.488646822079692 52.00500001293753, 4.481766879647555 52.00500001293753, 4.481766879647555 52.00000014138715, 4.488646822079692 52.00000014138715, 4.488646822079692 52.00500001293753))",15
R1C55,"POLYGON ((4.495526764511828 52.00500001293753, 4.488646822079692 52.00500001293753, 4.488646822079692 52.00000014138715, 4.495526764511828 52.00000014138715, 4.495526764511828 52.00500001293753))",15
R1C62,"POLYGON ((4.543686361536783 52.00500001293753, 4.536806419104646 52.00500001293753, 4.536806419104646 52.00000014138715, 4.543686361536783 52.00000014138715, 4.543686361536783 52.00500001293753))",15
R1C83,"POLYGON ((4.6881651526116475 52.00500001293753, 4.681285210179511 52.00500001293753, 4.681285210179511 52.00000014138715, 4.6881651526116475 52.00000014138715, 4.6881651526116475 52.00500001293753))",10
R1C85,"POLYGON ((4.70192503747592 52.00500001293753, 4.695045095043784 52.00500001293753, 4.695045095043784 52.00000014138715, 4.70192503747592 52.00000014138715, 4.70192503747592 52.00500001293753))",10
R1C92,"POLYGON ((4.750084634500875 52.00500001293753, 4.743204692068739 52.00500001293753, 4.743204692068739 52.00000014138715, 4.750084634500875 52.00000014138715, 4.750084634500875 52.00500001293753))",10
R1C96,"POLYGON ((4.777604404229421 52.00500001293753, 4.770724461797284 52.00500001293753, 4.770724461797284 52.00000014138715, 4.777604404229421 52.00000014138715, 4.777604404229421 52.00500001293753))",10
R1C140,"POLYGON ((5.080321871243423 52.00500001293753, 5.073441928811286 52.00500001293753, 5.073441928811286 52.00000014138715, 5.080321871243423 52.00000014138715, 5.080321871243423 52.00500001293753))",5
R2C7,"POLYGON ((4.16528952776928 52.00999988448791, 4.158409585337144 52.00999988448791, 4.158409585337144 52.00500001293753, 4.16528952776928 52.00500001293753, 4.16528952776928 52.00999988448791))",3
R2C8,"POLYGON ((4.172169470201417 52.00999988448791, 4.16528952776928 52.00999988448791, 4.16528952776928 52.00500001293753, 4.172169470201417 52.00500001293753, 4.172169470201417 52.00999988448791))",3
R2C16,"POLYGON ((4.227209009658508 52.00999988448791, 4.220329067226372 52.00999988448791, 4.220329067226372 52.00500001293753, 4.227209009658508 52.00500001293753, 4.227209009658508 52.00999988448791))",3
R2C17,"POLYGON ((4.234088952090644 52.00999988448791, 4.227209009658508 52.00999988448791, 4.227209009658508 52.00500001293753, 4.234088952090644 52.00500001293753, 4.234088952090644 52.00999988448791))",3
R2C30,"POLYGON ((4.323528203708418 52.00999988448791, 4.316648261276281 52.00999988448791, 4.316648261276281 52.00500001293753, 4.323528203708418 52.00500001293753, 4.323528203708418 52.00999988448791))",3
R2C31,"POLYGON ((4.330408146140554 52.00999988448791, 4.323528203708418 52.00999988448791, 4.323528203708418 52.00500001293753, 4.330408146140554 52.00500001293753, 4.330408146140554 52.00999988448791))",3
R2C32,"POLYGON ((4.3372880885726905 52.00999988448791, 4.330408146140554 52.00999988448791, 4.330408146140554 52.00500001293753, 4.3372880885726905 52.00500001293753, 4.3372880885726905 52.00999988448791))",3
R2C33,"POLYGON ((4.344168031004827 52.00999988448791, 4.3372880885726905 52.00999988448791, 4.3372880885726905 52.00500001293753, 4.344168031004827 52.00500001293753, 4.344168031004827 52.00999988448791))",3
R2C34,"POLYGON ((4.351047973436963 52.00999988448791, 4.344168031004827 52.00999988448791, 4.344168031004827 52.00500001293753, 4.351047973436963 52.00500001293753, 4.351047973436963 52.00999988448791))",3
R2C35,"POLYGON ((4.3579279158691 52.00999988448791, 4.351047973436963 52.00999988448791, 4.351047973436963 52.00500001293753, 4.3579279158691 52.00500001293753, 4.3579279158691 52.00999988448791))",3
R2C36,"POLYGON ((4.364807858301236 52.00999988448791, 4.3579279158691 52.00999988448791, 4.3579279158691 52.00500001293753, 4.364807858301236 52.00500001293753, 4.364807858301236 52.00999988448791))",3
R2C37,"POLYGON ((4.371687800733373 52.00999988448791, 4.364807858301236 52.00999988448791, 4.364807858301236 52.00500001293753, 4.371687800733373 52.00500001293753, 4.371687800733373 52.00999988448791))",3
R2C38,"POLYGON ((4.378567743165509 52.00999988448791, 4.371687800733373 52.00999988448791, 4.371687800733373 52.00500001293753, 4.378567743165509 52.00500001293753, 4.378567743165509 52.00999988448791))",15
R2C39,"POLYGON ((4.385447685597645 52.00999988448791, 4.378567743165509 52.00999988448791, 4.378567743165509 52.00500001293753, 4.385447685597645 52.00500001293753, 4.385447685597645 52.00999988448791))",15
R2C40,"POLYGON ((4.392327628029782 52.00999988448791, 4.385447685597645 52.00999988448791, 4.385447685597645 52.00500001293753, 4.392327628029782 52.00500001293753, 4.392327628029782 52.00999988448791))",15
R2C41,"POLYGON ((4.399207570461918 52.00999988448791, 4.392327628029782 52.00999988448791, 4.392327628029782 52.00500001293753, 4.399207570461918 52.00500001293753, 4.399207570461918 52.00999988448791))",15
R2C47,"POLYGON ((4.440487225054737 52.00999988448791, 4.4336072826226 52.00999988448791, 4.4336072826226 52.00500001293753, 4.440487225054737 52.00500001293753, 4.440487225054737 52.00999988448791))",15
R2C48,"POLYGON ((4.447367167486873 52.00999988448791, 4.440487225054737 52.00999988448791, 4.440487225054737 52.00500001293753, 4.447367167486873 52.00500001293753, 4.447367167486873 52.00999988448791))",15
R2C49,"POLYGON ((4.4542471099190095 52.00999988448791, 4.447367167486873 52.00999988448791, 4.447367167486873 52.00500001293753, 4.4542471099190095 52.00500001293753, 4.4542471099190095 52.00999988448791))",15
R2C54,"POLYGON ((4.488646822079692 52.00999988448791, 4.481766879647555 52.00999988448791, 4.481766879647555 52.00500001293753, 4.488646822079692 52.00500001293753, 4.488646822079692 52.00999988448791))",15
R2C60,"POLYGON ((4.52992647667251 52.00999988448791, 4.523046534240374 52.00999988448791, 4.523046534240374 52.00500001293753, 4.52992647667251 52.00500001293753, 4.52992647667251 52.00999988448791))",15
R2C61,"POLYGON ((4.536806419104646 52.00999988448791, 4.52992647667251 52.00999988448791, 4.52992647667251 52.00500001293753, 4.536806419104646 52.00500001293753, 4.536806419104646 52.00999988448791))",15
R2C62,"POLYGON ((4.543686361536783 52.00999988448791, 4.536806419104646 52.00999988448791, 4.536806419104646 52.00500001293753, 4.543686361536783 52.00500001293753, 4.543686361536783 52.00999988448791))",15
R2C68,"POLYGON ((4.584966016129601 52.00999988448791, 4.578086073697465 52.00999988448791, 4.578086073697465 52.00500001293753, 4.584966016129601 52.00500001293753, 4.584966016129601 52.00999988448791))",10
R2C85,"POLYGON ((4.70192503747592 52.00999988448791, 4.695045095043784 52.00999988448791, 4.695045095043784 52.00500001293753, 4.70192503747592 52.00500001293753, 4.70192503747592 52.00999988448791))",10
R2C86,"POLYGON ((4.708804979908057 52.00999988448791, 4.70192503747592 52.00999988448791, 4.70192503747592 52.00500001293753, 4.708804979908057 52.00500001293753, 4.708804979908057 52.00999988448791))",10
R2C87,"POLYGON ((4.715684922340193 52.00999988448791, 4.708804979908057 52.00999988448791, 4.708804979908057 52.00500001293753, 4.715684922340193 52.00500001293753, 4.715684922340193 52.00999988448791))",10
R2C88,"POLYGON ((4.7225648647723295 52.00999988448791, 4.715684922340193 52.00999988448791, 4.715684922340193 52.00500001293753, 4.7225648647723295 52.00500001293753, 4.7225648647723295 52.00999988448791))",10
R2C92,"POLYGON ((4.750084634500875 52.00999988448791, 4.743204692068739 52.00999988448791, 4.743204692068739 52.00500001293753, 4.750084634500875 52.00500001293753, 4.750084634500875 52.00999988448791))",10
