,row,column,lat_min,lat_max,lon_min,lon_max,nature,entertainment,transports,art,tourism,security,accessibility,sport
R1C2,1.0,2.0,41.13368278068964,41.137514355786195,1.4000290501531316,1.407528852902366,0.0,6.0,22.0,0.0,2.0,0.0,0.0,0.0
R2C2,2.0,2.0,41.137514355786195,41.14134593088275,1.4000290501531316,1.407528852902366,3.0,20.0,39.0,0.0,2.0,0.0,0.0,0.0
R3C2,3.0,2.0,41.14134593088275,41.145177505979305,1.4000290501531316,1.407528852902366,3.0,17.0,78.0,0.0,0.0,2.0,1.0,0.0
R3C3,3.0,3.0,41.14134593088275,41.145177505979305,1.407528852902366,1.4150286556516003,2.0,32.0,67.0,1.0,3.0,0.0,1.0,0.0
R3C4,3.0,4.0,41.14134593088275,41.145177505979305,1.4150286556516003,1.4225284584008346,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R4C2,4.0,2.0,41.145177505979305,41.14900908107586,1.4000290501531316,1.407528852902366,2.0,39.0,68.0,0.0,0.0,0.0,0.0,0.0
R4C3,4.0,3.0,41.145177505979305,41.14900908107586,1.407528852902366,1.4150286556516003,12.0,45.0,72.0,0.0,1.0,1.0,1.0,0.0
R4C4,4.0,4.0,41.145177505979305,41.14900908107586,1.4150286556516003,1.4225284584008346,12.0,4.0,59.0,0.0,2.0,0.0,1.0,0.0
R4C5,4.0,5.0,41.145177505979305,41.14900908107586,1.4225284584008346,1.430028261150069,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R5C2,5.0,2.0,41.14900908107586,41.152840656172415,1.4000290501531316,1.407528852902366,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0
R5C3,5.0,3.0,41.14900908107586,41.152840656172415,1.407528852902366,1.4150286556516003,6.0,25.0,44.0,0.0,0.0,0.0,0.0,0.0
R5C4,5.0,4.0,41.14900908107586,41.152840656172415,1.4150286556516003,1.4225284584008346,4.0,6.0,48.0,1.0,1.0,0.0,1.0,0.0
R5C5,5.0,5.0,41.14900908107586,41.152840656172415,1.4225284584008346,1.430028261150069,8.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0
R5C6,5.0,6.0,41.14900908107586,41.152840656172415,1.430028261150069,1.4375280638993033,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
R6C2,6.0,2.0,41.152840656172415,41.15667223126897,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R6C3,6.0,3.0,41.152840656172415,41.15667223126897,1.407528852902366,1.4150286556516003,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
R6C4,6.0,4.0,41.152840656172415,41.15667223126897,1.4150286556516003,1.4225284584008346,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0
R6C5,6.0,5.0,41.152840656172415,41.15667223126897,1.4225284584008346,1.430028261150069,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0
R6C6,6.0,6.0,41.152840656172415,41.15667223126897,1.430028261150069,1.4375280638993033,9.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0
R6C7,6.0,7.0,41.152840656172415,41.15667223126897,1.4375280638993033,1.4450278666485377,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
R7C2,7.0,2.0,41.15667223126897,41.160503806365526,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R7C3,7.0,3.0,41.15667223126897,41.160503806365526,1.407528852902366,1.4150286556516003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R7C4,7.0,4.0,41.15667223126897,41.160503806365526,1.4150286556516003,1.4225284584008346,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
R7C5,7.0,5.0,41.15667223126897,41.160503806365526,1.4225284584008346,1.430028261150069,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
R7C6,7.0,6.0,41.15667223126897,41.160503806365526,1.430028261150069,1.4375280638993033,1.0,23.0,52.0,0.0,0.0,0.0,0.0,0.0
R7C7,7.0,7.0,41.15667223126897,41.160503806365526,1.4375280638993033,1.4450278666485377,3.0,16.0,44.0,0.0,3.0,0.0,0.0,0.0
R7C8,7.0,8.0,41.15667223126897,41.160503806365526,1.4450278666485377,1.452527669397772,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
R7C9,7.0,9.0,41.15667223126897,41.160503806365526,1.452527669397772,1.4600274721470063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R8C2,8.0,2.0,41.160503806365526,41.16433538146208,1.4000290501531316,1.407528852902366,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
R8C3,8.0,3.0,41.160503806365526,41.16433538146208,1.407528852902366,1.4150286556516003,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
R8C4,8.0,4.0,41.160503806365526,41.16433538146208,1.4150286556516003,1.4225284584008346,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
R8C5,8.0,5.0,41.160503806365526,41.16433538146208,1.4225284584008346,1.430028261150069,1.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0
R8C6,8.0,6.0,41.160503806365526,41.16433538146208,1.430028261150069,1.4375280638993033,5.0,53.0,43.0,0.0,0.0,0.0,0.0,0.0
R8C7,8.0,7.0,41.160503806365526,41.16433538146208,1.4375280638993033,1.4450278666485377,1.0,46.0,55.0,0.0,1.0,0.0,0.0,0.0
R8C8,8.0,8.0,41.160503806365526,41.16433538146208,1.4450278666485377,1.452527669397772,2.0,5.0,43.0,0.0,1.0,0.0,0.0,0.0
R8C9,8.0,9.0,41.160503806365526,41.16433538146208,1.452527669397772,1.4600274721470063,6.0,4.0,41.0,0.0,2.0,0.0,0.0,0.0
R9C2,9.0,2.0,41.16433538146208,41.168166956558636,1.4000290501531316,1.407528852902366,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
R9C3,9.0,3.0,41.16433538146208,41.168166956558636,1.407528852902366,1.4150286556516003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R9C4,9.0,4.0,41.16433538146208,41.168166956558636,1.4150286556516003,1.4225284584008346,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
R9C5,9.0,5.0,41.16433538146208,41.168166956558636,1.4225284584008346,1.430028261150069,1.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0
R9C6,9.0,6.0,41.16433538146208,41.168166956558636,1.430028261150069,1.4375280638993033,2.0,75.0,33.0,0.0,0.0,0.0,0.0,0.0
R9C7,9.0,7.0,41.16433538146208,41.168166956558636,1.4375280638993033,1.4450278666485377,3.0,66.0,88.0,1.0,2.0,1.0,2.0,0.0
R9C8,9.0,8.0,41.16433538146208,41.168166956558636,1.4450278666485377,1.452527669397772,0.0,25.0,48.0,0.0,0.0,0.0,0.0,0.0
R9C9,9.0,9.0,41.16433538146208,41.168166956558636,1.452527669397772,1.4600274721470063,1.0,16.0,55.0,0.0,4.0,0.0,0.0,0.0
R9C10,9.0,10.0,41.16433538146208,41.168166956558636,1.4600274721470063,1.4675272748962407,3.0,35.0,44.0,0.0,1.0,0.0,0.0,0.0
R9C11,9.0,11.0,41.16433538146208,41.168166956558636,1.4675272748962407,1.475027077645475,3.0,5.0,16.0,1.0,3.0,0.0,0.0,0.0
R9C12,9.0,12.0,41.16433538146208,41.168166956558636,1.475027077645475,1.4825268803947094,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0
R9C13,9.0,13.0,41.16433538146208,41.168166956558636,1.4825268803947094,1.4900266831439437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R10C2,10.0,2.0,41.168166956558636,41.17199853165519,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
R10C3,10.0,3.0,41.168166956558636,41.17199853165519,1.407528852902366,1.4150286556516003,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
R10C4,10.0,4.0,41.168166956558636,41.17199853165519,1.4150286556516003,1.4225284584008346,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
R10C5,10.0,5.0,41.168166956558636,41.17199853165519,1.4225284584008346,1.430028261150069,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R10C6,10.0,6.0,41.168166956558636,41.17199853165519,1.430028261150069,1.4375280638993033,2.0,58.0,49.0,0.0,0.0,0.0,0.0,0.0
R10C7,10.0,7.0,41.168166956558636,41.17199853165519,1.4375280638993033,1.4450278666485377,2.0,14.0,30.0,0.0,3.0,2.0,1.0,0.0
R10C8,10.0,8.0,41.168166956558636,41.17199853165519,1.4450278666485377,1.452527669397772,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R10C9,10.0,9.0,41.168166956558636,41.17199853165519,1.452527669397772,1.4600274721470063,0.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0
