,geometry,cluster
R3C2,"POLYGON ((1.407528852902366 41.145177505979305, 1.4000290501531316 41.145177505979305, 1.4000290501531316 41.14134593088275, 1.407528852902366 41.14134593088275, 1.407528852902366 41.145177505979305))",5
R3C3,"POLYGON ((1.4150286556516003 41.145177505979305, 1.407528852902366 41.145177505979305, 1.407528852902366 41.14134593088275, 1.4150286556516003 41.14134593088275, 1.4150286556516003 41.145177505979305))",5
R4C3,"POLYGON ((1.4150286556516003 41.14900908107586, 1.407528852902366 41.14900908107586, 1.407528852902366 41.145177505979305, 1.4150286556516003 41.145177505979305, 1.4150286556516003 41.14900908107586))",5
R4C4,"POLYGON ((1.4225284584008346 41.14900908107586, 1.4150286556516003 41.14900908107586, 1.4150286556516003 41.145177505979305, 1.4225284584008346 41.145177505979305, 1.4225284584008346 41.14900908107586))",5
R5C4,"POLYGON ((1.4225284584008346 41.152840656172415, 1.4150286556516003 41.152840656172415, 1.4150286556516003 41.14900908107586, 1.4225284584008346 41.14900908107586, 1.4225284584008346 41.152840656172415))",5
R5C5,"POLYGON ((1.430028261150069 41.152840656172415, 1.4225284584008346 41.152840656172415, 1.4225284584008346 41.14900908107586, 1.430028261150069 41.14900908107586, 1.430028261150069 41.152840656172415))",5
R9C7,"POLYGON ((1.4450278666485377 41.168166956558636, 1.4375280638993033 41.168166956558636, 1.4375280638993033 41.16433538146208, 1.4450278666485377 41.16433538146208, 1.4450278666485377 41.168166956558636))",5
R9C11,"POLYGON ((1.475027077645475 41.168166956558636, 1.4675272748962407 41.168166956558636, 1.4675272748962407 41.16433538146208, 1.475027077645475 41.16433538146208, 1.475027077645475 41.168166956558636))",5
R9C12,"POLYGON ((1.4825268803947094 41.168166956558636, 1.475027077645475 41.168166956558636, 1.475027077645475 41.16433538146208, 1.4825268803947094 41.16433538146208, 1.4825268803947094 41.168166956558636))",5
R10C7,"POLYGON ((1.4450278666485377 41.17199853165519, 1.4375280638993033 41.17199853165519, 1.4375280638993033 41.168166956558636, 1.4450278666485377 41.168166956558636, 1.4450278666485377 41.17199853165519))",5
R10C12,"POLYGON ((1.4825268803947094 41.17199853165519, 1.475027077645475 41.17199853165519, 1.475027077645475 41.168166956558636, 1.4825268803947094 41.168166956558636, 1.4825268803947094 41.17199853165519))",5
R10C13,"POLYGON ((1.4900266831439437 41.17199853165519, 1.4825268803947094 41.17199853165519, 1.4825268803947094 41.168166956558636, 1.4900266831439437 41.168166956558636, 1.4900266831439437 41.17199853165519))",5
R11C7,"POLYGON ((1.4450278666485377 41.17583010675175, 1.4375280638993033 41.17583010675175, 1.4375280638993033 41.17199853165519, 1.4450278666485377 41.17199853165519, 1.4450278666485377 41.17583010675175))",5
R11C14,"POLYGON ((1.497526485893178 41.17583010675175, 1.4900266831439437 41.17583010675175, 1.4900266831439437 41.17199853165519, 1.497526485893178 41.17199853165519, 1.497526485893178 41.17583010675175))",5
R12C3,"POLYGON ((1.4150286556516003 41.1796616818483, 1.407528852902366 41.1796616818483, 1.407528852902366 41.17583010675175, 1.4150286556516003 41.17583010675175, 1.4150286556516003 41.1796616818483))",5
R12C13,"POLYGON ((1.4900266831439437 41.1796616818483, 1.4825268803947094 41.1796616818483, 1.4825268803947094 41.17583010675175, 1.4900266831439437 41.17583010675175, 1.4900266831439437 41.1796616818483))",5
R12C15,"POLYGON ((1.5050262886424124 41.1796616818483, 1.497526485893178 41.1796616818483, 1.497526485893178 41.17583010675175, 1.5050262886424124 41.17583010675175, 1.5050262886424124 41.1796616818483))",5
